旧等级ID,旧等级名称,对应组别ID,对应组别名称,对应新服务等级ID,对应新服务等级名称,对应新服务人返利系数
1984834,润歌国际_资金渠道_普通员工（终止合作）-01,170,润歌国际_资金渠道_普通员工（终止合作）,4,04,0.25
1984835,润歌国际_资金渠道_普通员工（终止合作）-02,170,润歌国际_资金渠道_普通员工（终止合作）,5,05,0.5
1984836,润歌国际_资金渠道_普通员工（终止合作）-03,170,润歌国际_资金渠道_普通员工（终止合作）,6,06,0.75
1984837,润歌国际_资金渠道_普通员工（终止合作）-04,170,润歌国际_资金渠道_普通员工（终止合作）,8,08,1
1984838,润歌国际_资金渠道_内部专职（终止合作）-01,102,润歌国际_资金渠道_内部专职（终止合作）,4,04,0.25
1984839,润歌国际_资金渠道_内部专职（终止合作）-02,102,润歌国际_资金渠道_内部专职（终止合作）,5,05,0.5
1984840,润歌国际_资金渠道_内部专职（终止合作）-03,102,润歌国际_资金渠道_内部专职（终止合作）,6,06,0.75
1984841,盈华财富_资金渠道_普通员工-01,171,盈华财富_资金渠道_普通员工,4,04,0.25
1984842,盈华财富_资金渠道_普通员工-02,171,盈华财富_资金渠道_普通员工,5,05,0.5
1984843,盈华财富_资金渠道_普通员工-03,171,盈华财富_资金渠道_普通员工,6,06,0.75
1984844,盈华财富_资金渠道_普通员工-04,171,盈华财富_资金渠道_普通员工,8,08,1
1984845,盈华财富_资金渠道_内部专职（盈华）-01,11,盈华财富_资金渠道_内部专职（盈华）,4,04,0.25
1984846,盈华财富_资金渠道_内部专职（盈华）-02,11,盈华财富_资金渠道_内部专职（盈华）,5,05,0.5
1984847,盈华财富_资金渠道_内部专职（盈华）-03,11,盈华财富_资金渠道_内部专职（盈华）,6,06,0.75
1984848,联合财富_资金渠道_普通员工-01,145,联合财富_资金渠道_普通员工,4,04,0.25
1984849,联合财富_资金渠道_普通员工-02,145,联合财富_资金渠道_普通员工,5,05,0.5
1984850,联合财富_资金渠道_普通员工-03,145,联合财富_资金渠道_普通员工,6,06,0.75
1984851,联合财富_资金渠道_内部专职（内部专职）-04,12,联合财富_资金渠道_内部专职（内部专职）,8,08,1
1984852,联合财富_资金渠道_外部菁英（外部菁英）-01,144,联合财富_资金渠道_外部菁英（外部菁英）,2,02,0.1
1984853,联合财富_资金渠道_外部菁英（外部菁英）-02,144,联合财富_资金渠道_外部菁英（外部菁英）,4,04,0.25
1984854,联合财富_资金渠道_外部菁英（外部菁英）-03,144,联合财富_资金渠道_外部菁英（外部菁英）,5,05,0.5
1984855,联合财富_资金渠道_外部菁英（外部菁英）-04,144,联合财富_资金渠道_外部菁英（外部菁英）,6,06,0.75
1984856,联合财富_资金渠道_外部菁英（外部菁英）-05,144,联合财富_资金渠道_外部菁英（外部菁英）,8,08,1
1984857,弘达北方_大连贷_资金渠道_内部专职-01,59,弘达北方_大连贷_资金渠道_内部专职,4,04,0.25
1984858,弘达北方_大连贷_资金渠道_内部专职-02,59,弘达北方_大连贷_资金渠道_内部专职,5,05,0.5
1984859,弘达北方_大连贷_资金渠道_内部专职-03,59,弘达北方_大连贷_资金渠道_内部专职,6,06,0.75
1984860,弘达北方_大连贷_资金渠道_普通员工-01,147,弘达北方_大连贷_资金渠道_普通员工,4,04,0.25
1984861,弘达北方_大连贷_资金渠道_普通员工-03,147,弘达北方_大连贷_资金渠道_普通员工,6,06,0.75
1984862,弘达北方_大连贷_资金渠道_普通员工-02,147,弘达北方_大连贷_资金渠道_普通员工,5,05,0.5
1984863,弘达北方_大连贷_资金渠道_外部菁英-01,148,弘达北方_大连贷_资金渠道_外部菁英,2,02,0.1
1984864,弘达北方_大连贷_资金渠道_外部菁英-02,148,弘达北方_大连贷_资金渠道_外部菁英,4,04,0.25
1984865,弘达北方_大连贷_资金渠道_外部菁英-03,148,弘达北方_大连贷_资金渠道_外部菁英,5,05,0.5
1984866,弘达北方_大连贷_资金渠道_外部菁英-04,148,弘达北方_大连贷_资金渠道_外部菁英,6,06,0.75
1984867,弘达北方_大连贷_资金渠道_外部渠道-01,173,弘达北方_大连贷_资金渠道_外部渠道,2,02,0.1
1984868,弘达北方_大连贷_资金渠道_外部渠道-02,173,弘达北方_大连贷_资金渠道_外部渠道,4,04,0.25
1984869,弘达北方_大连贷_资金渠道_外部渠道-03,173,弘达北方_大连贷_资金渠道_外部渠道,5,05,0.5
1984870,弘达北方_大连贷_资金渠道_外部渠道-04,173,弘达北方_大连贷_资金渠道_外部渠道,6,06,0.75
1984871,弘达北方_大连贷_资金渠道_外部渠道-05,173,弘达北方_大连贷_资金渠道_外部渠道,8,08,1
1984872,弘达北方_沈阳贷_资金渠道_内部专职-01,55,弘达北方_沈阳贷_资金渠道_内部专职,4,04,0.25
1984873,弘达北方_沈阳贷_资金渠道_内部专职-02,55,弘达北方_沈阳贷_资金渠道_内部专职,5,05,0.5
1984874,弘达北方_沈阳贷_资金渠道_内部专职-03,55,弘达北方_沈阳贷_资金渠道_内部专职,6,06,0.75
1984875,弘达北方_沈阳贷_资金渠道_普通员工-01,149,弘达北方_沈阳贷_资金渠道_普通员工,4,04,0.25
1984876,弘达北方_沈阳贷_资金渠道_普通员工-02,149,弘达北方_沈阳贷_资金渠道_普通员工,5,05,0.5
1984877,弘达北方_沈阳贷_资金渠道_普通员工-03,149,弘达北方_沈阳贷_资金渠道_普通员工,6,06,0.75
1984878,沈阳贷_资金渠道_外部菁英（作废）-01,150,沈阳贷_资金渠道_外部菁英（作废）,2,02,0.1
1984879,沈阳贷_资金渠道_外部菁英（作废）-02,150,沈阳贷_资金渠道_外部菁英（作废）,4,04,0.25
1984880,沈阳贷_资金渠道_外部菁英（作废）-03,150,沈阳贷_资金渠道_外部菁英（作废）,5,05,0.5
1984881,沈阳贷_资金渠道_外部菁英（作废）-04,150,沈阳贷_资金渠道_外部菁英（作废）,6,06,0.75
1984882,沈阳贷_资金渠道_外部菁英（作废）-05,150,沈阳贷_资金渠道_外部菁英（作废）,8,08,1
1984883,Externality_壹城金信_资金渠道_外部菁英-01,174,Externality_壹城金信_资金渠道_外部菁英,2,02,0.1
1984884,Externality_壹城金信_资金渠道_外部菁英-02,174,Externality_壹城金信_资金渠道_外部菁英,4,04,0.25
1984885,Externality_壹城金信_资金渠道_外部菁英-03,174,Externality_壹城金信_资金渠道_外部菁英,5,05,0.5
1984886,Externality_壹城金信_资金渠道_外部菁英-05,174,Externality_壹城金信_资金渠道_外部菁英,6,06,0.75
1984887,Externality_壹城金信_资金渠道_外部菁英-04,174,Externality_壹城金信_资金渠道_外部菁英,8,08,1
1984888,典当联盟_资金渠道_普通员工-01,151,典当联盟_资金渠道_普通员工,4,04,0.25
1984889,典当联盟_资金渠道_普通员工-02,151,典当联盟_资金渠道_普通员工,5,05,0.5
1984890,典当联盟_资金渠道_普通员工-03,151,典当联盟_资金渠道_普通员工,6,06,0.75
1984891,典当联盟_资金渠道_内部专职-01,48,典当联盟_资金渠道_内部专职,4,04,0.25
1984892,典当联盟_资金渠道_内部专职-02,48,典当联盟_资金渠道_内部专职,5,05,0.5
1984893,典当联盟_资金渠道_内部专职-03,48,典当联盟_资金渠道_内部专职,6,06,0.75
1984894,典当联盟_资金渠道_外部菁英-01,152,典当联盟_资金渠道_外部菁英,2,02,0.1
1984895,典当联盟_资金渠道_外部菁英-02,152,典当联盟_资金渠道_外部菁英,4,04,0.25
1984896,典当联盟_资金渠道_外部菁英-03,152,典当联盟_资金渠道_外部菁英,5,05,0.5
1984897,典当联盟_资金渠道_外部菁英-04,152,典当联盟_资金渠道_外部菁英,6,06,0.75
1984898,典当联盟_资金渠道_外部渠道-01,175,典当联盟_资金渠道_外部渠道,2,02,0.1
1984899,典当联盟_资金渠道_外部渠道-02,175,典当联盟_资金渠道_外部渠道,4,04,0.25
1984900,典当联盟_资金渠道_外部渠道-03,175,典当联盟_资金渠道_外部渠道,5,05,0.5
1984901,典当联盟_资金渠道_外部渠道-04,175,典当联盟_资金渠道_外部渠道,6,06,0.75
1984902,典当联盟_资金渠道_外部渠道-05,175,典当联盟_资金渠道_外部渠道,8,08,1
1984903,荣信汇_资金渠道_内部专职-01,65,荣信汇_资金渠道_内部专职,4,04,0.25
1984904,荣信汇_资金渠道_内部专职-02,65,荣信汇_资金渠道_内部专职,5,05,0.5
1984905,荣信汇_资金渠道_内部专职-03,65,荣信汇_资金渠道_内部专职,6,06,0.75
1991038,荣信汇_资金渠道_普通员工-02,153,荣信汇_资金渠道_普通员工,5,05,0.5
1991039,荣信汇_资金渠道_普通员工-03,153,荣信汇_资金渠道_普通员工,6,06,0.75
1991551,荣信汇_资金渠道_外部菁英-01,154,荣信汇_资金渠道_外部菁英,2,02,0.1
1991552,荣信汇_资金渠道_外部菁英-02,154,荣信汇_资金渠道_外部菁英,4,04,0.25
1991553,荣信汇_资金渠道_外部菁英-03,154,荣信汇_资金渠道_外部菁英,5,05,0.5
