旧等级ID,旧等级名称,对应组别ID,对应组别名称,对应新服务等级ID,对应新服务等级名称,对应新服务人返利系数
36632182,Externality_陕西新时光_资金渠道_内部专职（终止合作）-04,289,Externality_陕西新时光_资金渠道_内部专职（终止合作）,8,08,1
36632183,Externality_陕西新时光_资金渠道_内部专职（终止合作）-06,289,Externality_陕西新时光_资金渠道_内部专职（终止合作）,5,05,0.5
37951854,e收贷_资金渠道_机构（终止合作）-04,290,e收贷_资金渠道_机构（终止合作）,1,01,0
40973454,新疆贷_资金渠道_分站客户（撤站）-01,291,新疆贷_资金渠道_分站客户（撤站）,2,02,0.1
40973455,新疆贷_资金渠道_内部专职（终止合作）-04,292,新疆贷_资金渠道_内部专职（终止合作）,8,08,1
40973456,新疆贷_资金渠道_普通员工（终止合作）-04,293,新疆贷_资金渠道_普通员工（终止合作）,8,08,1
40982664,新疆贷_资金渠道_外部菁英（终止合作）-05,294,新疆贷_资金渠道_外部菁英（终止合作）,8,08,1
40982665,新疆贷_资金渠道_外部渠道（终止合作）-05,295,新疆贷_资金渠道_外部渠道（终止合作）,8,08,1
41094173,分站公用_分站客户-01,296,分站公用_分站客户,2,02,0.1
41094174,影视宝_资金渠道_内部专职（终止合作）-04,297,影视宝_资金渠道_内部专职（终止合作）,8,08,1
41094175,影视宝_资金渠道_普通员工（终止合作）-04,298,影视宝_资金渠道_普通员工（终止合作）,8,08,1
41094176,渠道运营部_普通资金渠道_外部菁英-05,299,渠道运营部_普通资金渠道_外部菁英,8,08,1
41094177,特殊兼职理财师组-05,300,特殊兼职理财师组,8,08,1
43837864,财益通_资金渠道_分站客户（哈哈农庄）撤站-25,301,财益通_资金渠道_分站客户（哈哈农庄）撤站,2,02,0.1
43837865,财益通（哈哈农庄）_资金渠道_内部专职-04,302,财益通（哈哈农庄）_资金渠道_内部专职,8,08,1
43838889,财益通（哈哈农庄）_资金渠道_普通员工-04,303,财益通（哈哈农庄）_资金渠道_普通员工,8,08,1
43838890,财益通（哈哈农庄）_资金渠道_外部菁英-05,304,财益通（哈哈农庄）_资金渠道_外部菁英,8,08,1
43838891,财益通（哈哈农庄）_资金渠道_外部渠道（经销商）-05,305,财益通（哈哈农庄）_资金渠道_外部渠道（经销商）,8,08,1
44366760,产融贷（汇源金控）_资金渠道_机构-06,306,产融贷（汇源金控）_资金渠道_机构,1,01,0
45209713,联合中瑞_资金渠道_外部菁英（咖啡组）（终止合作）-04,307,联合中瑞_资金渠道_外部菁英（咖啡组）（终止合作）,8,08,1
45603569,网信理财_市场活动_品牌投放-01,308,网信理财_市场活动_品牌投放,1,01,0
45603570,网信白泽_资金渠道_外部渠道（大连）-26,309,网信白泽_资金渠道_外部渠道（大连）,1,01,0
45676204,网信白泽_资金渠道_外部渠道（天津）-26,310,网信白泽_资金渠道_外部渠道（天津）,1,01,0
45678251,网信白泽_开放平台_CPA+CPS（西安）-3,311,网信白泽_开放平台_CPA+CPS（西安）,8,08,1
45678252,网信白泽_资金渠道_外部渠道（沈阳）-26,312,网信白泽_资金渠道_外部渠道（沈阳）,1,01,0
45678253,网信白泽_资金渠道_外部渠道（宁波）-26,313,网信白泽_资金渠道_外部渠道（宁波）,1,01,0
46989740,Externality_大河科技_资金渠道_内部专职（终止合作）-04,314,Externality_大河科技_资金渠道_内部专职（终止合作）,8,08,1
46989741,Externality_大河科技_资金渠道_内部专职（终止合作）-05,314,Externality_大河科技_资金渠道_内部专职（终止合作）,4,04,0.25
47662876,荣信汇_资金渠道_外部渠道（西安）-04,315,荣信汇_资金渠道_外部渠道（西安）,5,05,0.5
47667992,Externality_百赢投资_资金渠道_内部专职（终止合作）-04,316,Externality_百赢投资_资金渠道_内部专职（终止合作）,8,08,1
47667993,Externality_百赢投资_资金渠道_内部专职（终止合作）-05,316,Externality_百赢投资_资金渠道_内部专职（终止合作）,5,05,0.5
47972848,原始会_资金渠道_普通员工（终止合作）-04,317,原始会_资金渠道_普通员工（终止合作）,8,08,1
47981033,原始会_资金渠道_机构（终止合作）-04,318,原始会_资金渠道_机构（终止合作）,1,01,0
48020931,数据清理_用户信息待核查组-01,319,数据清理_用户信息待核查组,1,01,0
49150324,网信理财_市场活动_品牌合作-01,321,网信理财_市场活动_品牌合作,1,01,0
49833689,Externality_百赢投资_资金渠道_内部专职（终止合作）-06,316,Externality_百赢投资_资金渠道_内部专职（终止合作）,2,02,0.1
50501709,网信雅博_资金渠道_内部专职（终止合作）-04,322,网信雅博_资金渠道_内部专职（终止合作）,8,08,1
50501710,网信雅博_资金渠道_普通员工（终止合作）-04,323,网信雅博_资金渠道_普通员工（终止合作）,8,08,1
50502734,网信雅博_资金渠道_外部渠道（终止合作）-05,324,网信雅博_资金渠道_外部渠道（终止合作）,8,08,1
50502735,网信雅博_资金渠道_外部菁英（终止合作）-05,325,网信雅博_资金渠道_外部菁英（终止合作）,8,08,1
50512966,网信理财_市场活动_CPA-01,326,网信理财_市场活动_CPA,1,01,0
50970248,网信白泽_开放平台_卓越恒信（机构）-26,327,网信白泽_开放平台_卓越恒信（机构）,1,01,0
51751821,岱宗会_资金渠道_外部菁英（终止合作）-06,116,岱宗会_资金渠道_外部菁英（终止合作）,7,07,0.8
52205011,弘达北方_租上租_资金渠道_机构-06,328,弘达北方_租上租_资金渠道_机构,1,01,0
53726213,网信白泽_资金渠道_普通员工（武汉）-02,329,网信白泽_资金渠道_普通员工（武汉）,8,08,1
55104195,典当联盟_资金渠道_机构-06,330,典当联盟_资金渠道_机构,1,01,0
56301106,新疆贷_资金渠道_机构（终止合作）-06,331,新疆贷_资金渠道_机构（终止合作）,1,01,0
58884182,e收贷_资金渠道_外部渠道（成都）（终止合作）-06,120,e收贷_资金渠道_外部渠道（成都）（终止合作）,1,01,0
60418683,网信理财_市场活动_CPA-04,326,网信理财_市场活动_CPA,1,01,0
60419707,网信理财_市场活动_CPC-04,272,网信理财_市场活动_CPC,1,01,0
60428915,网信理财_市场活动_O2O-04,275,网信理财_市场活动_O2O,1,01,0
60429939,网信白泽_开放平台_喜试网-04,276,网信白泽_开放平台_喜试网,1,01,0
61116373,Externality_杭州分润_资金渠道_内部专职（终止合作）-06,332,Externality_杭州分润_资金渠道_内部专职（终止合作）,2,02,0.1
61116374,Externality_杭州分润_资金渠道_内部专职（终止合作）-05,332,Externality_杭州分润_资金渠道_内部专职（终止合作）,5,05,0.5
61158318,悦网金服_资金渠道_外部渠道（李宁直营店O2O）（终止合作）-07,333,悦网金服_资金渠道_外部渠道（李宁直营店O2O）（终止合作）,1,01,0
61158319,网信证券_资金渠道_机构（终止合作）-06,334,网信证券_资金渠道_机构（终止合作）,1,01,0
62404334,Externality_众筹筑屋_资金渠道_内部专职（终止合作）-05,335,Externality_众筹筑屋_资金渠道_内部专职（终止合作）,8,08,1
62619165,网信麒麟_资金渠道_内部专职（终止合作）-05,336,网信麒麟_资金渠道_内部专职（终止合作）,8,08,1
62621212,网信麒麟_资金渠道_普通员工（终止合作）-05,337,网信麒麟_资金渠道_普通员工（终止合作）,8,08,1
62621213,网信麒麟_资金渠道_外部菁英（终止合作）-05,338,网信麒麟_资金渠道_外部菁英（终止合作）,8,08,1
63731169,Externality_四川众行_资金渠道_内部专职4级（终止合作）-8,339,Externality_四川众行_资金渠道_内部专职4级（终止合作）,2,02,0.1
63745492,Externality_众筹筑屋_资金渠道_外部菁英（终止合作）-05,340,Externality_众筹筑屋_资金渠道_外部菁英（终止合作）,8,08,1
66736745,农担-平台-分站用户-27,341,农担-平台-分站用户,1,01,0
66834954,Externality_鑫亿宏元_资金渠道_外部菁英（小辣椒）-05,342,Externality_鑫亿宏元_资金渠道_外部菁英（小辣椒）,8,08,1
66834955,Externality_鑫亿宏元_资金渠道_外部菁英（小辣椒）-08,342,Externality_鑫亿宏元_资金渠道_外部菁英（小辣椒）,3,03,0.2
68676356,联合智信_资金渠道_普通员工（终止合作）-05,343,联合智信_资金渠道_普通员工（终止合作）,8,08,1
68678403,盈华财富_资金渠道_机构（门店）-06,344,盈华财富_资金渠道_机构（门店）,1,01,0
69408826,艺值财富_资金渠道_内部专职-04,345,艺值财富_资金渠道_内部专职,8,08,1
69419057,艺值财富_资金渠道_外部菁英（兼职）-04,346,艺值财富_资金渠道_外部菁英（兼职）,8,08,1
69423150,艺值财富_资金渠道_普通员工-04,347,艺值财富_资金渠道_普通员工,8,08,1
70258942,网信友车_资金渠道_内部专职（终止合作）-04,348,网信友车_资金渠道_内部专职（终止合作）,8,08,1
70258943,网信友车_资金渠道_外部菁英（终止合作）-04,349,网信友车_资金渠道_外部菁英（终止合作）,8,08,1
70258944,网信友车_资金渠道_普通员工（终止合作）-04,350,网信友车_资金渠道_普通员工（终止合作）,8,08,1
70258945,网信友车_资金渠道_外部渠道（终止合作）-04,351,网信友车_资金渠道_外部渠道（终止合作）,8,08,1
70258946,网信友车_资金渠道_机构（终止合作）-04,352,网信友车_资金渠道_机构（终止合作）,1,01,0
70260993,深圳尚峰_资金渠道_内部专职（终止合作）-04,353,深圳尚峰_资金渠道_内部专职（终止合作）,8,08,1
70269178,深圳尚峰_资金渠道_外部菁英（终止合作）-04,354,深圳尚峰_资金渠道_外部菁英（终止合作）,8,08,1
70269179,深圳尚峰_资金渠道_普通员工（终止合作）-04,355,深圳尚峰_资金渠道_普通员工（终止合作）,8,08,1
70270203,深圳尚峰_资金渠道_外部渠道（终止合作）-04,356,深圳尚峰_资金渠道_外部渠道（终止合作）,8,08,1
70271227,拍车365_资金渠道_普通员工（终止合作）-04,357,拍车365_资金渠道_普通员工（终止合作）,8,08,1
70896281,第一房贷_资金渠道_外部渠道（房产中介经纪人)-05,358,第一房贷_资金渠道_外部渠道（房产中介经纪人),8,08,1
70905489,网信白泽_资金渠道_外部渠道（西安）-26,359,网信白泽_资金渠道_外部渠道（西安）,1,01,0
70905490,网信白泽_资金渠道_外部渠道（济南）-26,360,网信白泽_资金渠道_外部渠道（济南）,1,01,0
70905491,网信白泽_资金渠道_外部渠道（南京）-26,361,网信白泽_资金渠道_外部渠道（南京）,1,01,0
70905492,网信白泽_资金渠道_外部渠道（武汉）-26,362,网信白泽_资金渠道_外部渠道（武汉）,1,01,0
70905493,网信白泽_开放平台_CPA+CPS（宁波）-33,363,网信白泽_开放平台_CPA+CPS（宁波）,9,09,1.5
72258923,Externality_桨丰投资_资金渠道_内部专职（终止合作）-08,364,Externality_桨丰投资_资金渠道_内部专职（终止合作）,2,02,0.1
72258924,Externality_桨丰投资_资金渠道_内部专职（终止合作）-03,364,Externality_桨丰投资_资金渠道_内部专职（终止合作）,5,05,0.5
72258925,Externality_桨丰投资_资金渠道_内部专职（终止合作）-05,364,Externality_桨丰投资_资金渠道_内部专职（终止合作）,8,08,1
72758150,易典财富_资金渠道_内部专职（终止合作）-05,365,易典财富_资金渠道_内部专职（终止合作）,8,08,1
72759174,易典财富_资金渠道_普通员工（终止合作）-05,366,易典财富_资金渠道_普通员工（终止合作）,8,08,1
72759175,易典财富_资金渠道_外部菁英（终止合作）-05,367,易典财富_资金渠道_外部菁英（终止合作）,8,08,1
72759176,易典财富_资金渠道_外部菁英（终止合作）-08,367,易典财富_资金渠道_外部菁英（终止合作）,2,02,0.1
72762246,易典财富_资金渠道_外部渠道（终止合作）-05,368,易典财富_资金渠道_外部渠道（终止合作）,8,08,1
72763270,易典财富_资金渠道_外部渠道（终止合作）-08,368,易典财富_资金渠道_外部渠道（终止合作）,2,02,0.1
74199563,联合中瑞_资金渠道_内部专职（基金组）（终止合作）-05,369,联合中瑞_资金渠道_内部专职（基金组）（终止合作）,8,08,1
75555039,财益通_资金渠道_外部渠道（哈哈农庄）-05,370,财益通_资金渠道_外部渠道（哈哈农庄）,8,08,1
76026643,金融1号_资金渠道_机构（终止合作）-27,371,金融1号_资金渠道_机构（终止合作）,1,01,0
80710961,岱宗会_资金渠道_外部渠道（青岛中投）（终止合作）-06,372,岱宗会_资金渠道_外部渠道（青岛中投）（终止合作）,1,01,0
81289980,光大云付_资金渠道_机构（终止合作）-09,373,光大云付_资金渠道_机构（终止合作）,1,01,0
84024461,网信白泽_资金渠道_CPS（大连）-26,374,网信白泽_资金渠道_CPS（大连）,1,01,0
84245430,悦网金服_资金渠道_内部专职（终止合作）-05,375,悦网金服_资金渠道_内部专职（终止合作）,8,08,1
86793724,网信白泽_资金渠道_外部渠道（网推-返利平台）-26,376,网信白泽_资金渠道_外部渠道（网推-返利平台）,1,01,0
86793725,网信白泽_开放平台_CPA+CPS（济南）-3,377,网信白泽_开放平台_CPA+CPS（济南）,8,08,1
86793726,网信白泽_资金渠道_外部渠道（其他城市-存量）-26,378,网信白泽_资金渠道_外部渠道（其他城市-存量）,1,01,0
86794750,网信白泽_开放平台_CPA+CPS（二部）-26,379,网信白泽_开放平台_CPA+CPS（二部）,1,01,0
86794751,网信白泽_开放平台_CPA+CPS（二部2）-26,380,网信白泽_开放平台_CPA+CPS（二部2）,1,01,0
86794752,网信白泽_开放平台_CPA+CPS（大连）-3,381,网信白泽_开放平台_CPA+CPS（大连）,8,08,1
86845903,弘达财富_资金渠道_内部专职（YH）-05,382,弘达财富_资金渠道_内部专职（YH）,8,08,1
86845904,弘达财富_资金渠道_内部专职（LH）-05,383,弘达财富_资金渠道_内部专职（LH）,8,08,1
86845905,弘达财富_资金渠道_内部专职（YZ）-05,384,弘达财富_资金渠道_内部专职（YZ）,8,08,1
86845906,弘达财富_资金渠道_外部菁英（YH）-05,385,弘达财富_资金渠道_外部菁英（YH）,8,08,1
86845907,弘达财富_资金渠道_外部菁英（LH）-05,386,弘达财富_资金渠道_外部菁英（LH）,8,08,1
86845908,弘达财富_资金渠道_外部菁英（拟入职专职）-05,387,弘达财富_资金渠道_外部菁英（拟入职专职）,8,08,1
87459709,网信白泽_资金渠道_普通员工（济南）-02,388,网信白泽_资金渠道_普通员工（济南）,8,08,1
87459710,网信联合_资金渠道_普通员工（总部）-05,389,网信联合_资金渠道_普通员工（总部）,8,08,1
87459711,网信白泽_资金渠道_普通员工（西安）-02,390,网信白泽_资金渠道_普通员工（西安）,8,08,1
87459712,主站_平台_结算户机构-01,391,主站_平台_结算户机构,1,01,0
87460736,主站_平台_企业投资户-27,392,主站_平台_企业投资户,1,01,0
87461760,岱宗会_资金渠道_外部渠道（菏泽）（终止合作）-06,393,岱宗会_资金渠道_外部渠道（菏泽）（终止合作）,1,01,0
88617751,Externality_东方联合（外部）_资金渠道_外部菁英-10,394,Externality_东方联合（外部）_资金渠道_外部菁英,6,06,0.75
88617752,Externality_东方联合（外部）_资金渠道_外部菁英-11,394,Externality_东方联合（外部）_资金渠道_外部菁英,2,02,0.1
88618776,Externality_东方联合（外部）_资金渠道_外部菁英-12,394,Externality_东方联合（外部）_资金渠道_外部菁英,3,03,0.2
88629007,Externality_东方联合（外部）_资金渠道_外部菁英-13,394,Externality_东方联合（外部）_资金渠道_外部菁英,5,05,0.5
88629008,Externality_东方联合（外部）_资金渠道_外部菁英-14,394,Externality_东方联合（外部）_资金渠道_外部菁英,7,07,0.8
88629009,Externality_东方联合（外部）_资金渠道_外部菁英-15,394,Externality_东方联合（外部）_资金渠道_外部菁英,8,08,1
89544595,悦网金服_资金渠道_机构（终止合作）-06,395,悦网金服_资金渠道_机构（终止合作）,1,01,0
90955313,粤港贷_资金渠道_机构-06,396,粤港贷_资金渠道_机构,1,01,0
90955314,第一房贷_资金渠道_机构-06,397,第一房贷_资金渠道_机构,1,01,0
91396228,产融贷(产融北分)_资金渠道_普通员工(悦网金服)（终止合作）-05,398,产融贷(产融北分)_资金渠道_普通员工(悦网金服)（终止合作）,8,08,1
93018707,悦网金服_资金渠道_外部菁英（李宁经销商）（终止合作）-06,399,悦网金服_资金渠道_外部菁英（李宁经销商）（终止合作）,1,01,0
94072398,网信白泽_开放平台_卓越恒信（无返利）-27,400,网信白泽_开放平台_卓越恒信（无返利）,1,01,0
94074445,网信白泽_资金渠道_普通员工（宁波）-02,401,网信白泽_资金渠道_普通员工（宁波）,8,08,1
94074446,网信白泽_资金渠道_普通员工（大连）-02,402,网信白泽_资金渠道_普通员工（大连）,8,08,1
94755553,财益通_资金渠道_外部渠道（门店）-05,403,财益通_资金渠道_外部渠道（门店）,8,08,1
95245571,网信白泽_资金渠道_推广活动-26,404,网信白泽_资金渠道_推广活动,1,01,0
97955499,艺值财富_资金渠道_外部菁英（离职）-08,405,艺值财富_资金渠道_外部菁英（离职）,8,08,1
97955500,艺值财富_资金渠道_外部渠道-05,406,艺值财富_资金渠道_外部渠道,8,08,1
102030110,顶尖云_资金渠道_机构（终止合作）-07,407,顶尖云_资金渠道_机构（终止合作）,1,01,0
102030111,顶尖云_资金渠道_普通员工（终止合作）-06,408,顶尖云_资金渠道_普通员工（终止合作）,8,08,1
102030112,顶尖云_资金渠道_外部渠道（鹰潭）（终止合作）-05,409,顶尖云_资金渠道_外部渠道（鹰潭）（终止合作）,8,08,1
103223954,网信联合_资金渠道_普通员工（北京）-05,410,网信联合_资金渠道_普通员工（北京）,8,08,1
103233162,网信联合_资金渠道_普通员工（上海）-05,411,网信联合_资金渠道_普通员工（上海）,8,08,1
103233163,网信联合_资金渠道_普通员工（青岛）-05,412,网信联合_资金渠道_普通员工（青岛）,8,08,1
103233164,网信联合_资金渠道_普通员工（广州）-05,413,网信联合_资金渠道_普通员工（广州）,8,08,1
103233165,网信白泽_资金渠道_普通员工（沈阳）-02,414,网信白泽_资金渠道_普通员工（沈阳）,8,08,1
103248511,网信联合_资金渠道_内部专职（北京）-05,415,网信联合_资金渠道_内部专职（北京）,8,08,1
103261811,网信联合_资金渠道_内部专职（上海）-05,416,网信联合_资金渠道_内部专职（上海）,8,08,1
103262835,网信联合_资金渠道_内部专职（青岛）-05,417,网信联合_资金渠道_内部专职（青岛）,8,08,1
103262836,网信联合_资金渠道_内部专职（广州）-05,418,网信联合_资金渠道_内部专职（广州）,8,08,1
103262837,网信白泽_开放平台_CPA+CPS（武汉）-3,419,网信白泽_开放平台_CPA+CPS（武汉）,8,08,1
103262838,Externality_东方联合（外部）_资金渠道_外部菁英（企业投资）-01,420,Externality_东方联合（外部）_资金渠道_外部菁英（企业投资）,1,01,0
109618544,产融贷（汇源金控）资金渠道_外部菁英（JK888)-11,421,产融贷（汇源金控）资金渠道_外部菁英（JK888),1,01,0
109744374,网信白泽_资金渠道_普通员工-2,422,网信白泽_资金渠道_普通员工,8,08,1
113038436,岱宗会_资金渠道_外部渠道（菏泽）（终止合作）-12,393,岱宗会_资金渠道_外部渠道（菏泽）（终止合作）,7,07,0.8
113081403,联合财富_资金渠道_机构（僵尸户）-06,424,联合财富_资金渠道_机构（僵尸户）,1,01,0
115758595,网信理财_平台用户_特殊用户-1,425,网信理财_平台用户_特殊用户,2,02,0.1
117687974,悦网金服_资金渠道_外部菁英_（李宁员工）（终止合作）-4,426,悦网金服_资金渠道_外部菁英_（李宁员工）（终止合作）,8,08,1
122512443,盈华财富_资金渠道_机构（僵尸户）-4,427,盈华财富_资金渠道_机构（僵尸户）,1,01,0
122512444,弘达财富_资金渠道_机构（僵尸户）-4,428,弘达财富_资金渠道_机构（僵尸户）,1,01,0
124578905,悦网金服_资金渠道_外部渠道（李宁自营店_北京）（终止合作）-06,429,悦网金服_资金渠道_外部渠道（李宁自营店_北京）（终止合作）,1,01,0
127988566,Externality_小辣椒_资金渠道_普通员工（终止合作）-04,431,Externality_小辣椒_资金渠道_普通员工（终止合作）,2,02,0.1
127988567,Externality_小辣椒_资金渠道_普通员工（终止合作）-05,431,Externality_小辣椒_资金渠道_普通员工（终止合作）,5,05,0.5
127988568,Externality_小辣椒_资金渠道_普通员工（终止合作）-06,431,Externality_小辣椒_资金渠道_普通员工（终止合作）,8,08,1
127988569,Externality_小辣椒_资金渠道_内部专职（终止合作）-04,432,Externality_小辣椒_资金渠道_内部专职（终止合作）,2,02,0.1
127988570,Externality_小辣椒_资金渠道_内部专职（终止合作）-05,432,Externality_小辣椒_资金渠道_内部专职（终止合作）,5,05,0.5
127988571,Externality_小辣椒_资金渠道_内部专职（终止合作）-06,432,Externality_小辣椒_资金渠道_内部专职（终止合作）,8,08,1
128093941,网信白泽_资金渠道_外部菁英（天津）-26,433,网信白泽_资金渠道_外部菁英（天津）,1,01,0
128093942,网信白泽_开放平台_CPA+CPS（沈阳）-7,434,网信白泽_开放平台_CPA+CPS（沈阳）,1,01,0
132511257,网信白泽_资金渠道_外部渠道（网推）-26,435,网信白泽_资金渠道_外部渠道（网推）,1,01,0
135594580,联合财富_资金渠道_内部专职（金服）-5,436,联合财富_资金渠道_内部专职（金服）,8,08,1
136478453,网信金服_资金渠道_普通员工（一分）-15,437,网信金服_资金渠道_普通员工（一分）,8,08,1
136478454,网信金服_资金渠道_机构（金服）-16,438,网信金服_资金渠道_机构（金服）,1,01,0
137017576,上海赫熠_资金渠道_普通员工（终止合作）-05,439,上海赫熠_资金渠道_普通员工（终止合作）,8,08,1
141180164,主站_平台_信分期借款人-16,440,主站_平台_信分期借款人,1,01,0
141875805,网信白泽_市场活动_网推（返利平台-存量）-26,441,网信白泽_市场活动_网推（返利平台-存量）,1,01,0
141875806,网信白泽_市场活动_网推（网推-存量）-26,442,网信白泽_市场活动_网推（网推-存量）,1,01,0
141875807,粤港贷_资金渠道_机构（无返利）-16,443,粤港贷_资金渠道_机构（无返利）,1,01,0
141875808,网信金服_资金渠道_普通员工（二分）-2,444,网信金服_资金渠道_普通员工（二分）,8,08,1
141875809,网信白泽_开放平台_正堂方略（推荐合作机构）-28,445,网信白泽_开放平台_正堂方略（推荐合作机构）,1,01,0
141875810,网信白泽_开放平台_正堂方略-28,446,网信白泽_开放平台_正堂方略,1,01,0
141875811,网信_资金渠道_普通员工（VIP顾问）-3,447,网信_资金渠道_普通员工（VIP顾问）,8,08,1
141875812,网信理财_平台用户_众利财富邀请码户-27,448,网信理财_平台用户_众利财富邀请码户,1,01,0
146251184,网信理财_市场渠道_O2O（客服码）-16,449,网信理财_市场渠道_O2O（客服码）,1,01,0
147125850,网信金服_资金渠道_普通员工（金服）-15,450,网信金服_资金渠道_普通员工（金服）,8,08,1
147125851,网信金服_资金渠道_外部菁英-15,451,网信金服_资金渠道_外部菁英,8,08,1
156972227,网信白泽_资金渠道_商户邀请人-26,452,网信白泽_资金渠道_商户邀请人,1,01,0
157266852,网信白泽_开放平台_CPA-16,453,网信白泽_开放平台_CPA,8,08,1
158827951,联合财富_资金渠道_普通员工（金服）-2,454,联合财富_资金渠道_普通员工（金服）,8,08,1
160816664,第一房贷_天津_资金渠道_普通员工（后台员工）-2,455,第一房贷_天津_资金渠道_普通员工（后台员工）,8,08,1
160816665,第一房贷_天津_资金渠道_外部菁英（兼职）-2,456,第一房贷_天津_资金渠道_外部菁英（兼职）,8,08,1
160816666,第一房贷_天津_资金渠道_内部专职（财富团队）-2,457,第一房贷_天津_资金渠道_内部专职（财富团队）,8,08,1
161227913,网信白泽_开放平台_平台用户-27,458,网信白泽_开放平台_平台用户,1,01,0
161237121,网信白泽_开放平台_CPS-1,459,网信白泽_开放平台_CPS,10,10,2
161244283,网信白泽_春雨_开放平台_医生-27,460,网信白泽_春雨_开放平台_医生,1,01,0
161249399,网信白泽_春雨_开放平台_患者-27,461,网信白泽_春雨_开放平台_患者,1,01,0
161249400,网信白泽_开放平台_CPA+CPS-1,462,网信白泽_开放平台_CPA+CPS,10,10,2
162893362,网信白泽_开放平台_CPA+CPS-27,462,网信白泽_开放平台_CPA+CPS,1,01,0
166452380,网信理财_平台用户_掌众邀请码户-27,463,网信理财_平台用户_掌众邀请码户,1,01,0
173555070,网信联合_资金渠道_内部专职（长春）-4,464,网信联合_资金渠道_内部专职（长春）,8,08,1
173555071,网信联合_资金渠道_普通员工（长春）-4,465,网信联合_资金渠道_普通员工（长春）,8,08,1
180599450,网信白泽_资金渠道_外部渠道（商户2）-11,466,网信白泽_资金渠道_外部渠道（商户2）,5,05,0.5
186304722,网信白泽_资金渠道_外部菁英-2,467,网信白泽_资金渠道_外部菁英,8,08,1
190401838,汉美财富_资金渠道_普通员工（终止合作）-2,468,汉美财富_资金渠道_普通员工（终止合作）,8,08,1
190832522,网信白泽_开放平台_CPA+CPS-33,462,网信白泽_开放平台_CPA+CPS,9,09,1.5
194905086,网信白泽_开放平台_CPA-27,453,网信白泽_开放平台_CPA,1,01,0
195836017,渠道运营部_普通资金渠道_外部菁英（调整）-22,469,渠道运营部_普通资金渠道_外部菁英（调整）,2,02,0.1
199845155,汉美财富_资金渠道_外部渠道（终止合作）-2,470,汉美财富_资金渠道_外部渠道（终止合作）,8,08,1
199855386,汉美财富_资金渠道_机构（终止合作）-26,471,汉美财富_资金渠道_机构（终止合作）,1,01,0
200218552,网信白泽_开放平台_卓越恒信-27,472,网信白泽_开放平台_卓越恒信,1,01,0
204181655,网信白泽_开放平台_外部渠道（一部-存量）-1,430,网信白泽_开放平台_外部渠道（一部-存量）,10,10,2
204181656,网信白泽_开放平台_外部渠道（一部-存量）-3,430,网信白泽_开放平台_外部渠道（一部-存量）,8,08,1
204181657,网信白泽_开放平台_外部渠道（一部-存量）-33,430,网信白泽_开放平台_外部渠道（一部-存量）,9,09,1.5
206737112,产融贷（汇源金控）_资金渠道_外部渠道（爱本地-威海）-26,473,产融贷（汇源金控）_资金渠道_外部渠道（爱本地-威海）,1,01,0
208463937,网信理财_平台用户_特殊用户-16,425,网信理财_平台用户_特殊用户,4,04,0.25
208463938,网信理财_平台用户_特殊用户-3,425,网信理财_平台用户_特殊用户,8,08,1
209054210,网信理财_平台用户_特殊用户-27,425,网信理财_平台用户_特殊用户,1,01,0
209654712,网信白泽_开放平台_CPA+CPS（沈阳）-33,434,网信白泽_开放平台_CPA+CPS（沈阳）,9,09,1.5
209654713,网信白泽_开放平台_CPA+CPS（沈阳）-3,434,网信白泽_开放平台_CPA+CPS（沈阳）,8,08,1
209656760,网信白泽_开放平台_CPA+CPS（沈阳）-11,434,网信白泽_开放平台_CPA+CPS（沈阳）,5,05,0.5
209656761,网信白泽_开放平台_CPA+CPS（沈阳）-2,434,网信白泽_开放平台_CPA+CPS（沈阳）,8,08,1
210511990,网信白泽_资金渠道_外部渠道（大连）-11,309,网信白泽_资金渠道_外部渠道（大连）,5,05,0.5
210511991,网信白泽_资金渠道_外部渠道（大连）-2,309,网信白泽_资金渠道_外部渠道（大连）,8,08,1
210511992,网信白泽_资金渠道_外部渠道（宁波）-11,313,网信白泽_资金渠道_外部渠道（宁波）,5,05,0.5
210515062,网信白泽_资金渠道_外部渠道（宁波）-2,313,网信白泽_资金渠道_外部渠道（宁波）,8,08,1
210517109,网信白泽_资金渠道_外部渠道（天津）-11,310,网信白泽_资金渠道_外部渠道（天津）,5,05,0.5
210517110,网信白泽_资金渠道_外部渠道（天津）-2,310,网信白泽_资金渠道_外部渠道（天津）,8,08,1
210520180,网信白泽_资金渠道_外部渠道（沈阳）-11,312,网信白泽_资金渠道_外部渠道（沈阳）,5,05,0.5
210520181,网信白泽_资金渠道_外部渠道（沈阳）-2,312,网信白泽_资金渠道_外部渠道（沈阳）,8,08,1
210521205,网信白泽_资金渠道_外部渠道（济南）-11,360,网信白泽_资金渠道_外部渠道（济南）,5,05,0.5
210521206,网信白泽_资金渠道_外部渠道（济南）-2,360,网信白泽_资金渠道_外部渠道（济南）,8,08,1
210521207,网信白泽_资金渠道_外部渠道（西安）-11,359,网信白泽_资金渠道_外部渠道（西安）,5,05,0.5
210521208,网信白泽_资金渠道_外部渠道（西安）-2,359,网信白泽_资金渠道_外部渠道（西安）,8,08,1
210521209,网信白泽_资金渠道_外部渠道（武汉）-11,362,网信白泽_资金渠道_外部渠道（武汉）,5,05,0.5
