借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A005430046,72932093,5526,55.52,0.79
消费贷A005542869,74259447,5595,43.56,0.34
消费贷A005353131,72597688,5703,72.79,2.08
消费贷A005413568,72807892,5703,98.30,3.29
消费贷A005416636,72826135,5703,9.28,0.08
消费贷A005423825,72879724,5703,5.39,0.05
消费贷A005453582,73159885,5703,19.77,0.33
消费贷A005489836,73461967,5703,85.36,4.11
消费贷A005496849,73534302,5703,48.35,2.31
消费贷A005502632,73587531,5703,139.75,7.75
消费贷A007372690,100356212,5707,4235.56,79.69
消费贷A005410230,72767163,5735,45.62,1.29
消费贷A005434769,72982776,5756,9.36,0.12
消费贷A005430493,72937845,5844,1512.22,21.77
消费贷A005474701,73328254,5855,498.02,10.92
消费贷A005449863,73127983,6073,26.09,0.44
消费贷A007358201,99699567,6094,29.90,0.22
消费贷A007365907,100036817,6094,25.95,0.39
消费贷A007367468,100100867,6094,33.86,0.37
消费贷A007367468,100100874,6094,33.86,0.37
消费贷A007369615,100211649,6094,50.55,0.7
消费贷A007371046,100271323,6094,50.55,0.7
消费贷A005420896,72857850,6102,4.77,0.04
消费贷A005433154,72967998,6102,9.36,0.12
消费贷A004732773,71702312,6125,1884.85,45.36
消费贷A005415835,72818026,6125,1896.87,64.12
消费贷A007357208,99659143,6137,17.01,0.12
消费贷A007359152,99739846,6137,17.01,0.12
消费贷A007375712,100520173,6137,42.80,0.94
消费贷A007380786,100808644,6137,33.83,0.35
消费贷A007381139,100820956,6137,33.83,0.35
消费贷A005480868,73383337,6148,225.61,10.95
消费贷A005071752,72147377,6187,1840.49,45.44
消费贷A005378957,72651866,6187,1593.42,46.07
消费贷A005437800,73017867,6187,414.96,16.05
消费贷A005456599,73177285,6284,358.84,6.28
消费贷A005413274,72805417,6311,696.07,6.66
消费贷A005441185,73049833,6311,2854.49,54.87
消费贷A005473766,73316163,6311,3544.27,59.22
消费贷A005521860,73772265,6311,4008.81,185.92
消费贷A005526243,73831187,6311,3146.22,116.37
消费贷A005528237,73905343,6311,3146.22,116.37
消费贷A005545880,74355628,6311,1114.83,46.46
消费贷A005299503,72505060,6360,138.00,2.64
消费贷A005439574,73035567,6360,1898.21,82.75
消费贷A005407540,72745537,6375,193.68,5.58
消费贷A005441057,73048885,6382,413.71,7.94
消费贷A005483773,73405992,6382,1418.56,37.44
消费贷A004810482,71810877,6484,137.19,3.37
消费贷A005430563,72938463,6544,611.31,23.64
消费贷A005422832,72871067,6641,92.90,0.88
消费贷A005439424,73034156,6641,5.62,0.14
消费贷A007373363,100391849,6665,50.55,0.7
消费贷A007376223,100549137,6665,67.15,1.17
消费贷A004576077,71500568,6677,34.38,0.8
消费贷A005407954,72749204,6709,741.04,21.42
消费贷A005407969,72749207,6709,651.51,18.84
消费贷A005411043,72776586,6711,140.67,4.04
消费贷A007354979,99546118,6854,52.04,0.61
消费贷A007356104,99614621,6854,22.82,0.27
消费贷A007359511,99754946,6854,84.93,0.63
