借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A005299509,72506753,6275202,99.42,2.87
消费贷A004936770,71961824,6665536,1812.1,44.76
消费贷A004288024,71098364,7165458,138.00,2.64
消费贷A004742812,71716768,7165458,109.24,1.07
消费贷A007352171,99394046,7165458,51.78,0.4
消费贷A007367253,100093464,7165458,231.99,2.6
消费贷A007369604,100209577,7165458,399.30,7.49
消费贷A007370233,100237847,7165458,50.58,0.93
消费贷A007373794,100414866,7165458,2189.77,49.5
消费贷A007380390,100788820,9993804,1273.19,9.01
消费贷A005429339,72925126,7992929,465.77,15.72
消费贷A005429345,72925175,7992929,951.89,32.16
消费贷A007380448,100793998,1757051,1316.74,23.38
消费贷A007373954,100419819,11713094,3878.43,87.69
消费贷A005418860,72841298,4299139,543.79,18.36
消费贷A005424371,72883747,4299139,51.02,0.49
消费贷A005413657,72806996,870582,16.00,0.15
消费贷A005415895,72820234,870582,5.21,0.04
消费贷A005416468,72824407,870582,8.05,0.07
消费贷A005429539,72926894,870582,46.54,0.44
消费贷A005440011,73039640,870582,13.76,0.26
消费贷A004203633,70993674,1472972,131.99,2.54
消费贷A005538521,74071664,9418061,31.55,1.12
消费贷A005538716,74081575,9418061,31.55,1.12
消费贷A005539687,74136553,9418061,35.88,1.44
消费贷A005540207,74151072,9418061,35.88,1.44
消费贷A005549883,74588676,9418061,17.39,0.19
消费贷A005551107,74634267,9418061,17.39,0.19
消费贷A007329858,98727816,9418061,17.39,0.19
消费贷A007330961,98752053,9418061,42.86,0.99
消费贷A007332109,98776980,9418061,34.44,0.66
消费贷A007336264,98898831,9418061,17.39,0.19
消费贷A007340716,99044457,9418061,42.86,0.99
消费贷A007342327,99090858,9418061,8.76,0.06
消费贷A007343965,99133263,9418061,8.76,0.06
消费贷A007346970,99245253,9418061,51.22,1.39
消费贷A007347830,99266621,9418061,8.76,0.06
消费贷A007348132,99276035,9418061,8.76,0.06
消费贷A007349521,99314833,9418061,8.76,0.06
消费贷A007351450,99370383,9418061,8.76,0.06
消费贷A007352127,99392509,9418061,8.76,0.06
消费贷A007353170,99429830,9418061,8.76,0.06
消费贷A007353856,99506784,9418061,17.39,0.19
消费贷A007354589,99526689,9418061,17.39,0.19
消费贷A007355931,99604714,9418061,17.39,0.19
消费贷A007356274,99619310,9418061,17.39,0.19
消费贷A007356274,99619320,9418061,17.39,0.19
消费贷A007356869,99646004,9418061,51.22,1.39
消费贷A007357183,99658857,9418061,17.39,0.19
消费贷A007357426,99670706,9418061,17.39,0.19
消费贷A007357838,99684837,9418061,17.39,0.19
消费贷A007357855,99685217,9418061,17.39,0.19
消费贷A007358121,99696777,9418061,17.39,0.19
消费贷A007358714,99722721,9418061,17.39,0.19
消费贷A007359035,99735788,9418061,17.39,0.19
消费贷A007359309,99748534,9418061,59.51,1.86
消费贷A007359950,99768768,9418061,25.95,0.39
消费贷A007360400,99780677,9418061,25.95,0.39
消费贷A007360869,99796366,9418061,25.95,0.39
消费贷A007361068,99807996,9418061,25.95,0.39
消费贷A007361171,99815502,9418061,25.95,0.39
消费贷A007361484,99829860,9418061,67.74,2.39
消费贷A007361558,99836438,9418061,25.95,0.39
消费贷A007361783,99844303,9418061,25.95,0.39
消费贷A007362087,99856987,9418061,25.95,0.39
消费贷A007362271,99866476,9418061,25.95,0.39
消费贷A007362659,99888768,9418061,59.51,1.86
消费贷A007363190,99919572,9418061,25.95,0.39
消费贷A007363190,99919601,9418061,25.95,0.39
消费贷A007363619,99933105,9418061,25.95,0.39
消费贷A007364066,99948627,9418061,25.95,0.39
消费贷A007364227,99955637,9418061,25.95,0.39
消费贷A007364525,99967532,9418061,25.95,0.39
消费贷A007364964,99982000,9418061,25.95,0.39
消费贷A007365131,99989035,9418061,25.95,0.39
消费贷A007365394,100001431,9418061,67.74,2.39
消费贷A007365550,100010596,9418061,25.95,0.39
消费贷A007365799,100025728,9418061,25.95,0.39
消费贷A007365874,100032790,9418061,25.95,0.39
消费贷A007366157,100045378,9418061,25.95,0.39
消费贷A007366396,100058967,9418061,25.95,0.39
消费贷A007366492,100066534,9418061,25.95,0.39
消费贷A007366810,100077826,9418061,25.95,0.39
消费贷A007367046,100090009,9418061,25.95,0.39
消费贷A007367363,100097727,9418061,25.95,0.39
消费贷A007367629,100109703,9418061,34.44,0.66
消费贷A007367812,100120566,9418061,34.44,0.66
消费贷A007367859,100133531,9418061,34.44,0.66
消费贷A007367978,100144203,9418061,34.38,0.62
消费贷A007368180,100152365,9418061,34.38,0.62
消费贷A007368513,100162283,9418061,34.38,0.62
消费贷A007368835,100175096,9418061,34.38,0.62
消费贷A007369020,100183090,9418061,34.38,0.62
消费贷A007369347,100196417,9418061,34.38,0.62
消费贷A007369573,100209246,9418061,34.38,0.62
消费贷A007369634,100212055,9418061,34.38,0.62
消费贷A007369849,100223666,9418061,34.38,0.62
消费贷A007370147,100232806,9418061,34.38,0.62
消费贷A007370363,100243036,9418061,34.38,0.62
消费贷A007370515,100253681,9418061,34.38,0.62
消费贷A007370670,100263062,9418061,34.38,0.62
消费贷A007371196,100278192,9418061,75.85,2.82
消费贷A007371240,100282862,9418061,34.38,0.62
消费贷A007371523,100296340,9418061,34.38,0.62
消费贷A007371716,100303012,9418061,34.38,0.62
消费贷A007371818,100314056,9418061,34.38,0.62
消费贷A007372073,100325491,9418061,34.38,0.62
消费贷A007372293,100335283,9418061,34.38,0.62
消费贷A007372417,100342826,9418061,34.38,0.62
消费贷A007372569,100352553,9418061,67.68,2.26
消费贷A007372716,100361512,9418061,59.45,1.76
消费贷A007372947,100373157,9418061,34.38,0.62
消费贷A007373100,100380515,9418061,34.38,0.62
消费贷A007373272,100388723,9418061,34.38,0.62
消费贷A007373431,100395023,9418061,42.80,0.94
消费贷A007373590,100403609,9418061,42.80,0.94
消费贷A007373777,100414163,9418061,42.80,0.94
消费贷A007373998,100424699,9418061,42.80,0.94
消费贷A007374168,100433931,9418061,42.80,0.94
消费贷A007374412,100444437,9418061,42.80,0.94
消费贷A007374590,100453598,9418061,42.80,0.94
消费贷A007374822,100466378,9418061,42.80,0.94
消费贷A007375127,100481924,9418061,42.80,0.94
消费贷A007375127,100481929,9418061,42.80,0.94
消费贷A007375301,100492204,9418061,42.80,0.94
消费贷A007375556,100504290,9418061,67.68,2.26
消费贷A007375735,100521569,9418061,42.80,0.94
消费贷A007375924,100531459,9418061,42.80,0.94
消费贷A007376179,100547730,9418061,42.80,0.94
消费贷A007376373,100556750,9418061,42.80,0.94
消费贷A007376563,100566844,9418061,42.80,0.94
消费贷A007376969,100589947,9418061,42.80,0.94
消费贷A007377170,100603374,9418061,42.80,0.94
消费贷A007377311,100612295,9418061,42.80,0.94
消费贷A007377507,100622796,9418061,42.80,0.94
消费贷A007377796,100639871,9418061,42.80,0.94
消费贷A007377796,100639897,9418061,42.80,0.94
消费贷A007377930,100651536,9418061,42.80,0.94
消费贷A007378077,100660983,9418061,42.80,0.94
消费贷A007378266,100672121,9418061,42.80,0.94
消费贷A007378417,100683492,9418061,42.80,0.94
消费贷A007378599,100697105,9418061,42.80,0.94
消费贷A007378732,100704107,9418061,42.80,0.94
消费贷A007378826,100710307,9418061,42.80,0.94
消费贷A007379091,100724235,9418061,51.16,1.32
消费贷A007379247,100731601,9418061,51.16,1.32
消费贷A007379424,100744713,9418061,51.16,1.32
消费贷A007379659,100752240,9418061,51.16,1.32
消费贷A007379818,100759250,9418061,2.18,0.06
消费贷A007372148,100328400,11976871,264.63,4.96
消费贷A007372513,100346403,11976871,2970.88,55.9
消费贷A007370360,100242588,5980111,2053.83,29.16
消费贷A007343500,99119063,7881406,449.73,3.55
消费贷A007354234,99515965,7881406,457.18,3.42
消费贷A007383980,100984120,2490522,450.39,3.18
消费贷A005451096,73137090,4507879,286.79,5.01
消费贷A005458402,73194662,4507879,1244.51,49.46
消费贷A005404946,72729748,2951302,968.65,28.02
消费贷A007333457,98814473,6325198,656.61,13.02
消费贷A007343121,99109958,6325198,87.04,0.68
消费贷A007371820,100314374,6325198,12.26,0.23
消费贷A005423722,72879053,1527661,93.29,0.89
消费贷A005432120,72956540,1527661,134.82,5.21
消费贷A007372431,100344349,10745162,3737.27,53.06
消费贷A004446855,71330174,7208776,1698.95,32.66
消费贷A007366855,100078449,1959961,1306.84,46.97
消费贷A005433960,72975109,3882572,22.87,0.63
消费贷A005434023,72975613,3882572,9.36,0.12
消费贷A007355191,99558999,3882572,59.51,1.86
消费贷A007355191,99559006,3882572,178.46,5.66
消费贷A007367585,100111996,3882572,169.19,1.89
消费贷A007370349,100244679,3882572,84.84,0.6
消费贷A007375952,100532710,3882572,169.05,1.79
消费贷A007375952,100532723,3882572,33.83,0.35
消费贷A007375952,100532735,3882572,33.83,0.35
消费贷A007380763,100806232,3882572,169.05,1.79
消费贷A007380763,100806238,3882572,33.83,0.35
消费贷A007381227,100823571,3882572,252.67,3.57
消费贷A007381227,100823578,3882572,50.55,0.7
消费贷A007381294,100826267,3882572,123.79,2.61
消费贷A007381197,100826271,3882572,19.92,0.14
消费贷A007381400,100831882,3882572,169.05,1.79
消费贷A007381400,100831975,3882572,33.83,0.35
消费贷A007382787,100897108,3882572,177.56,2.51
消费贷A004343512,71182620,6525943,689.45,13.24
消费贷A004856919,71865858,6525943,8.49,0.21
消费贷A004615093,71541171,3020383,3682.68,88.64
消费贷A005419456,72846069,6514296,543.79,18.36
消费贷A005425911,72893653,6514296,92.90,0.88
消费贷A007348993,99297296,6514296,1304.96,10.33
消费贷A007349350,99308373,6514296,84.56,0.67
消费贷A005409006,72755272,8654809,1469.92,42.52
消费贷A005413192,72800291,3676036,543.79,18.36
消费贷A005414930,72812554,3676036,92.90,0.88
消费贷A005419902,72850421,3676036,543.79,18.36
消费贷A005487969,73450049,3676036,4422.06,215.55
消费贷A005491487,73474702,3676036,380.16,10.03
