借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
供应链A007356140,99629789,4429,18.39,0.73
供应链A007359209,101100361,4441,1.19,0.05
供应链A007370251,100237193,4508,364.74,6.47
供应链A007367957,100148519,4579,12.75,0.22
消费贷A000141437,60186467,4593,624.60,15.15
供应链A007323149,98628137,4597,193.64,17.23
供应链A007367955,100143679,4638,773.04,30.15
消费贷A003125579,69453421,4664,8.84,0.74
供应链A007372725,100359855,4698,299.04,5.08
消费贷A000212617,62298729,4703,228.62,10.74
消费贷A000214617,62298756,4703,228.62,10.74
消费贷A000309787,62813304,4703,812.43,39.71
供应链A007370836,100269620,4709,222.01,8.66
供应链A007372285,100330296,4735,115.73,2.05
消费贷A000150148,60763435,4741,147.30,4.47
供应链A007369217,100190817,4743,213.00,3.62
供应链A007369217,100190819,4743,135.53,2.3
供应链A007368165,100157116,4797,55.92,0.95
100起投，首信1号4754A000128415,59028077,4810,1373.03,17.16
消费贷A000139773,60028276,4810,374.90,9.07
消费贷A000147366,60588614,4810,55.00,1.67
供应链A007375665,100504696,4824,1683.44,29.88
100起投，首信1号2894A000121876,58237068,4850,684.95,8.55
消费贷A000158273,61180686,4850,1660.54,60.65
消费贷A007342882,99103570,4850,316.83,2.37
消费贷A007342885,99103713,4850,25.15,0.18
消费贷A007342908,99104338,4850,147.57,1.1
消费贷A007348320,99280480,4850,64.13,0.48
供应链A007355545,99595691,4850,1773.31,73.59
供应链A007367909,100138018,4876,315.29,5.75
供应链A007355678,99600474,4880,1068.12,95.06
供应链A007375437,100493034,4925,126.51,2.25
供应链A007369212,100188768,4937,106.05,1.8
供应链A007376883,100581080,4937,96.26,0.78
供应链A005546467,74405716,4961,179.69,15.81
消费贷A000152583,60892111,4962,278.48,10.17
供应链A007341795,99077380,5000,142.22,12.66
供应链A007357991,99691828,5040,182.15,16.21
供应链A007380377,100779527,5043,952.72,7.74
100起投，首信1号6877A000135279,59654853,5059,37.35,0.66
100起投，首信1号6512A000135448,59660659,5059,63.64,0.76
消费贷A000145717,60452534,5059,230.16,6.99
供应链A007372285,100329720,5091,18.41,0.33
供应链A005550259,99504032,5225,10.38,0.92
100起投，首信1号6570A000134338,59570526,5267,338.23,6.13
消费贷A000148018,60619937,5267,338.25,6.13
消费贷A000155400,61055033,5267,856.11,31.26
消费贷A000158304,61189586,5267,448.00,16.35
供应链A007370254,100235239,5271,78.68,6.77
消费贷A003764526,70357656,5290,128.51,11.65
100起投，首信1号5556A000131166,59292344,5305,26.36,0.46
100起投，首信1号5695A000131663,59339149,5305,14.46,0.25
100起投，首信1号6029A000132744,59430426,5305,6.99,0.12
消费贷A000140943,60129132,5305,17.35,0.39
消费贷A000141005,60134317,5305,43.87,1.04
消费贷A000141517,60190295,5305,25.95,0.61
消费贷A000143746,60303080,5305,129.25,4.01
供应链A007342105,99090368,5338,100.90,8.98
消费贷A000147764,60611667,5345,639.65,19.41
消费贷A000162045,61353483,5362,24.82,0.94
供应链A007356846,99646963,5375,380.77,15.8
供应链A007366986,100090112,5377,95.06,8.46
消费贷A000536909,63121303,5421,14.43,0.72
供应链A007357197,99687498,5434,94.95,8.07
供应链A007369106,100180785,5496,490.67,8.34
消费贷A001546575,66069435,5514,242.93,15.44
供应链A007364276,99962957,5525,3.51,0.15
100起投，首信1号2886A000121868,58234981,5554,34.43,0.42
100起投，首信1号2893A000121875,58236920,5554,34.43,0.42
100起投，首信1号3925A000125603,58721844,5554,34.43,0.42
100起投，首信1号5009A000129539,59160633,5554,46.87,0.87
消费贷A000247353,62762404,5554,125.59,6.12
供应链A007355860,99602218,5556,1491.62,61.9
消费贷A005336176,72705382,5560,27.29,0.89
消费贷A007344734,99159962,5560,14.12,0.1
供应链A007376252,100572066,5573,25.00,0.44
100起投，首信1号6299A000133458,59485185,5596,205.94,3.73
消费贷A000150373,60781359,5596,531.80,16.15
100起投，首信1号3522A000124036,58522665,5599,74.86,0.93
供应链A007361991,99869005,5707,71.59,6.37
供应链A007381007,100810801,5734,403.61,15.74
供应链A007376271,100560571,5735,732.32,28.56
消费贷A001018923,64854332,5756,31.91,1.88
消费贷A002970358,69141891,5756,43.48,3.4
消费贷A004262653,71183621,5756,1.59,0.14
供应链A007382408,100878897,5794,100.00,0.78
供应链A007383688,100929245,5794,599.14,10.63
消费贷A004728462,71692525,5801,210.24,21.09
消费贷A007328548,98894689,5814,74.05,2.03
消费贷A007330022,98958769,5814,42.86,0.99
消费贷A007343144,99110514,5814,17.01,0.12
消费贷A007347507,99255046,5814,17.01,0.12
消费贷A007348422,99281702,5814,17.01,0.12
供应链A007348799,99355667,5814,100.00,3.95
供应链A007357221,99660789,5814,2841.53,117.92
供应链A007379585,100769085,5830,13.59,0.11
供应链A007376239,100565878,5842,6.51,0.11
消费贷A000155406,61057230,5844,826.71,30.19
100起投，首信1号5587A000131261,59303025,5851,7.01,0.12
供应链A007345096,99179223,5854,37.73,3.36
供应链A007352938,99424219,5888,628.70,26.09
消费贷A000700158,64089817,5919,28.89,1.54
供应链A007364101,99955527,5919,14.07,1.25
供应链A007369215,100188922,5928,13.37,0.23
供应链A007363493,99941828,5982,301.49,11.91
供应链A007367911,100141602,5995,41.56,0.71
供应链A007374318,100440031,6011,40.68,0.72
供应链A007367809,100159206,6012,122.44,2.08
消费贷A000161085,61338794,6033,169.11,6.37
消费贷A000162759,61382427,6033,484.93,18.32
供应链A007382413,100870825,6044,49.92,0.41
消费贷A002759585,68801958,6098,376.20,29.95
消费贷A002866960,69007348,6098,43.48,3.4
消费贷A002866960,69007456,6098,376.01,30.03
供应链A007379589,100756980,6145,30.47,2.62
供应链A007372139,100326450,6246,1.29,0.02
消费贷A005559567,74870747,6280,776.90,12.32
消费贷A007302545,98071171,6280,1031.74,20.47
消费贷A007305142,98135931,6280,112.73,2.24
消费贷A007304681,98129977,6281,9.40,0.19
供应链A007374891,100488036,6282,7.06,0.12
消费贷A000142257,60212926,6311,1012.11,25.06
消费贷A000142908,60244221,6311,297.73,7.37
消费贷A003455714,69909300,6360,849.01,72.46
消费贷A000199649,62127942,6375,13.02,0.66
消费贷A000149771,60719057,6433,668.27,20.29
消费贷A000161238,61321649,6433,167.18,6.29
消费贷A000196093,62016605,6433,796.90,35.2
消费贷A000210684,62165896,6433,23.26,1.12
消费贷A000212555,62269578,6433,228.62,10.74
消费贷A000219595,62429049,6433,23.12,1.1
消费贷A000230822,62518265,6433,23.12,1.1
消费贷A000240046,62551192,6433,23.12,1.1
消费贷A000536128,63113831,6433,645.73,33.08
消费贷A005376895,72766664,6433,54.74,5.49
供应链A007357219,99666788,6433,1000.00,39.5
供应链A007379388,100736582,6433,100.00,0.78
消费贷A000150250,60773553,6457,4.28,0.13
